Typical Measured Spectrum of Semrock FF01-586/20 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
370,6	3,1209e-07
370,8	3,7385e-07
371,0	4,4783e-07
371,2	5,3646e-07
371,4	6,4262e-07
371,6	7,6979e-07
371,8	9,2212e-07
372,0	9,0655e-07
372,2	8,6865e-07
372,4	8,3233e-07
372,6	7,9753e-07
372,8	7,6419e-07
373,0	7,3224e-07
373,2	7,0162e-07
373,4	6,7229e-07
373,6	6,4418e-07
373,8	6,1725e-07
374,0	4,9159e-07
374,2	3,6626e-07
374,4	2,7288e-07
374,6	2,0331e-07
374,8	1,5148e-07
375,0	1,1286e-07
375,2	8,4085e-08
375,4	6,2648e-08
375,6	4,6676e-08
375,8	3,4776e-08
376,0	3,7043e-08
376,2	5,0847e-08
376,4	6,9796e-08
376,6	9,5806e-08
376,8	1,3151e-07
377,0	1,8052e-07
377,2	2,4779e-07
377,4	3,4012e-07
377,6	4,6687e-07
377,8	6,4085e-07
378,0	6,9157e-07
378,2	5,4603e-07
378,4	4,3111e-07
378,6	3,4038e-07
378,8	2,6874e-07
379,0	2,1218e-07
379,2	1,6753e-07
379,4	1,3227e-07
379,6	1,0443e-07
379,8	8,2454e-08
380,0	6,6432e-08
380,2	6,0305e-08
380,4	5,4743e-08
380,6	4,9695e-08
380,8	4,5112e-08
381,0	4,0951e-08
381,2	3,7175e-08
381,4	3,3746e-08
381,6	3,0634e-08
381,8	2,7809e-08
382,0	2,7344e-08
382,2	2,7169e-08
382,4	2,6994e-08
382,6	2,682e-08
382,8	2,6648e-08
383,0	2,6477e-08
383,2	2,6306e-08
383,4	2,6137e-08
383,6	2,5969e-08
383,8	2,5802e-08
384,0	2,5644e-08
384,2	2,549e-08
384,4	2,5338e-08
384,6	2,5185e-08
384,8	2,5034e-08
385,0	2,4884e-08
385,2	2,4735e-08
385,4	2,4586e-08
385,6	2,4439e-08
385,8	2,4292e-08
386,0	2,415e-08
386,2	2,4011e-08
386,4	2,3872e-08
386,6	2,3735e-08
386,8	2,3598e-08
387,0	2,3462e-08
387,2	2,3327e-08
387,4	2,3192e-08
387,6	2,3058e-08
387,8	2,2926e-08
388,0	2,5059e-08
388,2	3,0827e-08
388,4	3,7923e-08
388,6	4,6653e-08
388,8	5,7391e-08
389,0	7,0602e-08
389,2	8,6854e-08
389,4	1,0685e-07
389,6	1,3144e-07
389,8	1,617e-07
390,0	1,8593e-07
390,2	1,4581e-07
390,4	1,1435e-07
390,6	8,9676e-08
390,8	7,0327e-08
391,0	5,5153e-08
391,2	4,3253e-08
391,4	3,392e-08
391,6	2,6601e-08
391,8	2,0862e-08
392,0	2,0261e-08
392,2	2,0151e-08
392,4	2,0041e-08
392,6	1,9932e-08
392,8	1,9823e-08
393,0	1,9715e-08
393,2	1,9608e-08
393,4	1,9501e-08
393,6	1,9395e-08
393,8	1,929e-08
394,0	1,9192e-08
394,2	1,9096e-08
394,4	1,9001e-08
394,6	1,8906e-08
394,8	1,8812e-08
395,0	1,8718e-08
395,2	1,8625e-08
395,4	1,8532e-08
395,6	1,844e-08
395,8	1,8348e-08
396,0	2,1423e-08
396,2	2,7645e-08
396,4	3,5676e-08
396,6	4,6039e-08
396,8	5,9412e-08
397,0	7,667e-08
397,2	9,8941e-08
397,4	1,2768e-07
397,6	1,6477e-07
397,8	2,1263e-07
398,0	2,3222e-07
398,2	2,109e-07
398,4	1,9153e-07
398,6	1,7394e-07
398,8	1,5797e-07
399,0	1,4346e-07
399,2	1,3029e-07
399,4	1,1832e-07
399,6	1,0746e-07
399,8	9,7591e-08
400,0	8,7241e-08
400,2	7,2203e-08
400,4	5,9758e-08
400,6	4,9457e-08
400,8	4,0932e-08
401,0	3,3877e-08
401,2	2,8038e-08
401,4	2,3205e-08
401,6	1,9205e-08
401,8	1,5895e-08
402,0	1,5482e-08
402,2	1,5403e-08
402,4	1,5324e-08
402,6	1,5245e-08
402,8	1,5167e-08
403,0	1,509e-08
403,2	1,5012e-08
403,4	1,4935e-08
403,6	1,4859e-08
403,8	1,4783e-08
404,0	1,4717e-08
404,2	1,4654e-08
404,4	1,4592e-08
404,6	1,4529e-08
404,8	1,4468e-08
405,0	1,4406e-08
405,2	1,4345e-08
405,4	1,4284e-08
405,6	1,4223e-08
405,8	1,4162e-08
406,0	1,554e-08
406,2	1,8145e-08
406,4	2,1186e-08
406,6	2,4736e-08
406,8	2,8882e-08
407,0	3,3723e-08
407,2	3,9375e-08
407,4	4,5974e-08
407,6	5,368e-08
407,8	6,2676e-08
408,0	6,6553e-08
408,2	6,3629e-08
408,4	6,0834e-08
408,6	5,8161e-08
408,8	5,5606e-08
409,0	5,3164e-08
409,2	5,0828e-08
409,4	4,8595e-08
409,6	4,646e-08
409,8	4,4419e-08
410,0	4,1861e-08
410,2	3,6774e-08
410,4	3,2304e-08
410,6	2,8378e-08
410,8	2,4929e-08
411,0	2,19e-08
411,2	1,9238e-08
411,4	1,69e-08
411,6	1,4846e-08
411,8	1,3042e-08
412,0	1,3967e-08
412,2	1,5533e-08
412,4	1,7274e-08
412,6	1,9211e-08
412,8	2,1365e-08
413,0	2,3761e-08
413,2	2,6425e-08
413,4	2,9387e-08
413,6	3,2682e-08
413,8	3,6347e-08
414,0	3,4672e-08
414,2	3,1065e-08
414,4	2,7834e-08
414,6	2,4938e-08
414,8	2,2344e-08
415,0	2,002e-08
415,2	1,7937e-08
415,4	1,6072e-08
415,6	1,44e-08
415,8	1,2902e-08
416,0	1,23e-08
416,2	1,2276e-08
416,4	1,2253e-08
416,6	1,2229e-08
416,8	1,2206e-08
417,0	1,2182e-08
417,2	1,2159e-08
417,4	1,2135e-08
417,6	1,2112e-08
417,8	1,2089e-08
418,0	1,2702e-08
418,2	1,4213e-08
418,4	1,5903e-08
418,6	1,7794e-08
418,8	1,991e-08
419,0	2,2277e-08
419,2	2,4926e-08
419,4	2,789e-08
419,6	3,1207e-08
419,8	3,4918e-08
420,0	3,7589e-08
420,2	3,3035e-08
420,4	2,9033e-08
420,6	2,5516e-08
420,8	2,2425e-08
421,0	1,9708e-08
421,2	1,7321e-08
421,4	1,5222e-08
421,6	1,3378e-08
421,8	1,1757e-08
422,0	1,1774e-08
422,2	1,2098e-08
422,4	1,2432e-08
422,6	1,2775e-08
422,8	1,3127e-08
423,0	1,3489e-08
423,2	1,3861e-08
423,4	1,4243e-08
423,6	1,4635e-08
423,8	1,5039e-08
424,0	1,5453e-08
424,2	1,5879e-08
424,4	1,6317e-08
424,6	1,7181e-08
424,8	1,8168e-08
425,0	1,9212e-08
425,2	2,0317e-08
425,4	2,1484e-08
425,6	2,2719e-08
425,8	2,4025e-08
426,0	2,5406e-08
426,2	2,6866e-08
426,4	2,912e-08
426,6	3,4367e-08
426,8	4,0559e-08
427,0	4,7866e-08
427,2	5,649e-08
427,4	6,6668e-08
427,6	7,8679e-08
427,8	9,2854e-08
428,0	1,0958e-07
428,2	1,2933e-07
428,4	1,4849e-07
428,6	1,3317e-07
428,8	1,1943e-07
429,0	1,0711e-07
429,2	9,6062e-08
429,4	8,6152e-08
429,6	7,7264e-08
429,8	6,9292e-08
430,0	6,2144e-08
430,2	5,5732e-08
430,4	4,9983e-08
430,6	4,4308e-08
430,8	3,9266e-08
431,0	3,4798e-08
431,2	3,0838e-08
431,4	2,7329e-08
431,6	2,4219e-08
431,8	2,1463e-08
